what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.cdt.make.ui,7.0.0.201009141542,"org.eclipse.cdt.make.ui",1286268511867
stopped,bundle,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui",1286268511870
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20100513-0845,"org.eclipse.jdt.apt.ui",1286268511870
stopped,bundle,org.eclipse.gmf.bridge.ui.dashboard,2.0.100.v20100226-2359,"org.eclipse.gmf.bridge.ui.dashboard",1286268511870
stopped,bundle,org.eclipse.gmf.doc.ui,1.3.0.v20090729-2031,"org.eclipse.gmf.doc.ui",1286268511870
stopped,bundle,org.eclipse.gmf.bridge.ui,1.2.100.v20090709-1925,"org.eclipse.gmf.bridge.ui",1286268511870
stopped,bundle,org.eclipse.gmf.bridge.trace,1.0.200.v200912151755,"org.eclipse.gmf.bridge.trace",1286268511870
stopped,bundle,org.eclipse.gmf.bridge,1.1.100.v20100309-2359,"org.eclipse.gmf.bridge",1286268511872
stopped,bundle,org.eclipse.gmf.codegen.edit,2.2.100.v20100309-2359,"org.eclipse.gmf.codegen.edit",1286268511872
stopped,bundle,org.eclipse.gmf.codegen,2.2.100.v20100518-2359,"org.eclipse.gmf.codegen",1286268511872
stopped,bundle,org.eclipse.gmf.map.edit,2.2.100.v20100309-2359,"org.eclipse.gmf.map.edit",1286268511872
stopped,bundle,org.eclipse.gmf.graphdef.edit,2.0.200.v20090216-1925,"org.eclipse.gmf.graphdef.edit",1286268511872
stopped,bundle,org.eclipse.gmf.graphdef.codegen,2.0.101.v20100831-1541,"org.eclipse.gmf.graphdef.codegen",1286268511872
stopped,bundle,org.eclipse.gmf.map,2.2.101.v20100831-1541,"org.eclipse.gmf.map",1286268511872
stopped,bundle,org.eclipse.gmf.tooldef.edit,2.0.100.v20090114-0940,"org.eclipse.gmf.tooldef.edit",1286268511873
stopped,bundle,org.eclipse.gmf.tooldef,2.0.0.v20090114-0940,"org.eclipse.gmf.tooldef",1286268511873
stopped,bundle,org.eclipse.gmf.common,1.2.0.v20100226-2359,"org.eclipse.gmf.common",1286268511875
stopped,bundle,com.google.gdt.eclipse.platform.shared,1.3.3.v201006111317,"com.google.gdt.eclipse.platform.shared",1286268511875
stopped,bundle,jmunit.framework,1.2.1.v201009031435,"jmunit.framework",1286268511875
stopped,bundle,org.eclipse.mtj.core,1.2.1.v201009031435,"org.eclipse.mtj.core",1286268511875
stopped,bundle,org.python.pydev.django,1.6.2.2010090812,"org.python.pydev.django",1286268511875
stopped,bundle,org.python.pydev.customizations,1.6.2.2010090812,"org.python.pydev.customizations",1286268511875
stopped,bundle,org.python.pydev.debug,1.6.2.2010090812,"org.python.pydev.debug",1286268511898
stopped,bundle,org.python.pydev.red_core,1.6.2.2010090812,"org.python.pydev.red_core",1286268511898
stopped,bundle,org.python.pydev.refactoring,1.6.2.2010090812,"org.python.pydev.refactoring",1286268511898
stopped,bundle,org.python.pydev,1.6.2.2010090812,"org.python.pydev",1286268511904
stopped,bundle,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui",1286268511932
stopped,bundle,org.eclipse.wst.sse.ui,1.2.2.v201008232126,"org.eclipse.wst.sse.ui",1286268511932
stopped,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1286268511956
stopped,bundle,org.eclipse.gmf.ecore.editor,2.2.0.v20100315-2359,"org.eclipse.gmf.ecore.editor",1286268511956
stopped,bundle,org.eclipse.team.svn.mylyn,0.7.9.I20100512-1900,"org.eclipse.team.svn.mylyn",1286268511956
stopped,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1286268511956
stopped,bundle,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.resources",1286268511956
stopped,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1286268511956
stopped,bundle,org.eclipse.team.svn.revision.graph,0.7.9.I20100512-1900,"org.eclipse.team.svn.revision.graph",1286268511956
stopped,bundle,org.eclipse.team.svn.ui,0.7.9.I20100512-1900,"org.eclipse.team.svn.ui",1286268511962
stopped,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1286268511962
stopped,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1286268511962
